Student ID;Student Country;Question ID;Type of Answer;Question Level;Topic;Subtopic;Keywords
175;Italy;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
626;Italy;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
349;Portugal;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
174;Portugal;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
1564;Portugal;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
407;Portugal;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
411;Portugal;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
155;Spain;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
240;Lithuania;83;1;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
626;Italy;83;1;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
750;Portugal;83;0;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
1509;Portugal;83;1;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
1557;Portugal;83;1;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
1557;Portugal;83;0;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
181;Italy;83;0;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
181;Italy;83;0;Basic;Real Functions of a single variable;Domain, Image and Graphics;Domain,Image of a function
351;Portugal;84;1;Basic;Real Functions of a single variable;Domain, Image and Graphics;Indeterminate forms,Limits
1564;Portugal;84;1;Basic;Real Functions of a single variable;Limits and Continuity;Indeterminate forms,Limits
181;Italy;84;0;Basic;Real Functions of a single variable;Domain, Image and Graphics;Indeterminate forms,Limits
1565;Portugal;85;0;Basic;Real Functions of a single variable;Limits and Continuity;Indeterminate forms,Limits
1481;Portugal;85;0;Basic;Real Functions of a single variable;Limits and Continuity;Indeterminate forms,Limits
1557;Portugal;86;1;Advanced;Real Functions of a single variable;Domain, Image and Graphics;Indeterminate forms,Limits
552;Portugal;87;0;Advanced;Real Functions of a single variable;Limits and Continuity;Indeterminate forms,Limits
1557;Portugal;87;1;Advanced;Real Functions of a single variable;Limits and Continuity;Indeterminate forms,Limits
1557;Portugal;87;0;Advanced;Real Functions of a single variable;Limits and Continuity;Indeterminate forms,Limits
1557;Portugal;87;0;Advanced;Real Functions of a single variable;Limits and Continuity;Indeterminate forms,Limits
854;Italy;88;1;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
854;Italy;88;1;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
26;Portugal;88;1;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
511;Portugal;88;1;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
973;Portugal;88;1;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
411;Portugal;88;0;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
852;Italy;88;0;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
852;Italy;88;1;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
852;Italy;88;0;Basic;Linear Algebra;Linear Systems;Inconsistent system,Square linear system,Solution of linear system,Undetermined solution of linear system,Consistent system
988;Portugal;89;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
988;Portugal;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
854;Italy;89;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
860;Italy;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
510;Portugal;89;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
979;Portugal;89;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
509;Portugal;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
511;Portugal;89;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
406;Portugal;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
406;Portugal;89;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
411;Portugal;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
852;Italy;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
852;Italy;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
600;Italy;89;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
853;Italy;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
853;Italy;89;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
1248;Italy;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
855;Italy;90;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
855;Italy;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
510;Portugal;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
509;Portugal;90;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
525;Portugal;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
986;Portugal;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
406;Portugal;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
414;Portugal;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
852;Italy;90;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
28;Portugal;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
853;Italy;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
853;Italy;90;1;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
72;Portugal;90;0;Basic;Linear Algebra;Linear Systems;Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system
988;Portugal;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
988;Portugal;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
1248;Italy;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
855;Italy;91;0;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
855;Italy;91;0;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
511;Portugal;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
511;Portugal;91;0;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
406;Portugal;91;0;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
414;Portugal;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
414;Portugal;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
852;Italy;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
852;Italy;91;1;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
598;Italy;91;0;Basic;Linear Algebra;Linear Systems;Consistent system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
854;Italy;92;1;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
510;Portugal;92;0;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
524;Portugal;92;0;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
26;Portugal;92;1;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
511;Portugal;92;1;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
509;Portugal;92;0;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
406;Portugal;92;1;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
414;Portugal;92;0;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
411;Portugal;92;1;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
853;Italy;92;1;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
625;Russian Federation;92;1;Basic;Linear Algebra;Linear Systems;Consistent system,Square linear system,Inconsistent system,Solution of linear system,Undetermined solution of linear system
239;Lithuania;93;0;Basic;Differentiation;Derivatives;Product rule,Logarithmic rule,Trigonometric rules
1049;Lithuania;93;0;Basic;Differentiation;Derivatives;Product rule,Logarithmic rule,Trigonometric rules
483;Portugal;93;1;Basic;Differentiation;Derivatives;Product rule,Logarithmic rule,Trigonometric rules
352;Portugal;93;0;Basic;Differentiation;Derivatives;Product rule,Logarithmic rule,Trigonometric rules
64;Portugal;93;1;Basic;Differentiation;Derivatives;Product rule,Logarithmic rule,Trigonometric rules
176;Italy;93;1;Basic;Differentiation;Derivatives;Product rule,Logarithmic rule,Trigonometric rules
165;Portugal;94;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
626;Italy;94;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
349;Portugal;94;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
349;Portugal;94;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
918;Portugal;94;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
64;Portugal;94;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
411;Portugal;94;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
178;Italy;94;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
634;Italy;94;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
239;Lithuania;95;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule,Exponential rule
175;Italy;95;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule,Exponential rule
985;Romania;95;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule,Exponential rule
349;Portugal;95;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule,Exponential rule
918;Portugal;95;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule,Exponential rule
155;Spain;96;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
1049;Lithuania;97;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
175;Italy;97;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
71;Portugal;97;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
1564;Portugal;97;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
407;Portugal;97;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
37;Portugal;97;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
177;Italy;97;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
176;Italy;97;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
344;Portugal;98;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
165;Portugal;98;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
175;Italy;98;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
483;Portugal;98;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
174;Portugal;98;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
177;Italy;98;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
176;Italy;98;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Logarithmic rule,Power rule
351;Portugal;100;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
1049;Lithuania;100;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
344;Portugal;100;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
985;Romania;100;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
483;Portugal;100;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
352;Portugal;100;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
71;Portugal;100;1;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
407;Portugal;100;0;Basic;Differentiation;Derivatives;Trigonometric rules,Product rule,Sum rule,Power rule
351;Portugal;101;0;Advanced;Differentiation;Derivatives;Trigonometric rules,Product rule,Logarithmic rule,Exponential rule
41;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
351;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
351;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
351;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
203;Lithuania;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
344;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
510;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
510;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
510;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
524;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
197;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
1274;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
525;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
525;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
525;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
1379;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
151;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
151;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
151;Portugal;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
176;Italy;102;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
204;Lithuania;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
625;Russian Federation;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
625;Russian Federation;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
625;Russian Federation;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
625;Russian Federation;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
41;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
351;Portugal;104;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
201;Lithuania;104;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
199;Lithuania;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
175;Italy;104;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
1518;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
524;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
524;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
524;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
1274;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
406;Portugal;104;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
1379;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
71;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
160;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
405;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
151;Portugal;104;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
151;Portugal;104;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
151;Portugal;104;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities;Simplify expressions
